,id,base_currency,quote_currency,base_min_size,base_max_size,quote_increment,base_increment,display_name,min_market_funds,max_market_funds,margin_enabled,fx_stablecoin,max_slippage_percentage,post_only,limit_only,cancel_only,trading_disabled,status,status_message,auction_mode
226,LTC-EUR,LTC,EUR,0.01,1000,0.01,0.00000001,LTC/EUR,10,250000,False,False,0.10000000,False,False,False,False,online,,False
227,ANKR-GBP,ANKR,GBP,10,4000000,0.00001,1,ANKR/GBP,5,100000,False,False,0.10000000,False,False,False,False,online,,False
228,NU-GBP,NU,GBP,10,1300000,0.0001,0.000001,NU/GBP,1.0,75000,False,False,0.10000000,False,False,False,False,online,,False
229,CGLD-BTC,CGLD,BTC,0.1,34000,0.00000001,0.01,CGLD/BTC,0.0001,10,False,False,0.10000000,False,False,False,False,online,,False
230,DOT-USDT,DOT,USDT,0.01,10000,0.001,0.001,DOT/USDT,5,100000,False,False,0.10000000,False,False,False,False,online,,False
231,DOGE-USD,DOGE,USD,1,690000,0.0001,0.1,DOGE/USD,5.0,750000,False,False,0.10000000,False,False,False,False,online,,False
232,IOTX-USD,IOTX,USD,10,13000000,0.00001,1,IOTX/USD,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
233,CRV-GBP,CRV,GBP,0.5,100000,0.0001,0.01,CRV/GBP,5,100000,False,False,0.10000000,False,False,False,False,online,,False
234,DOGE-BTC,DOGE,BTC,1,690000,0.0000001,0.1,DOGE/BTC,0.0001,2.0,False,False,0.10000000,False,False,False,False,online,,False
235,XTZ-BTC,XTZ,BTC,1,100000,0.00000001,0.01,XTZ/BTC,0.001,10,False,False,0.10000000,False,False,False,False,online,,False
236,RAI-USD,RAI,USD,0.1,84000,0.0001,0.01,RAI/USD,5.0,100000,False,False,0.10000000,False,True,False,False,online,,False
237,ORN-USDT,ORN,USDT,0.1,43000,0.01,0.01,ORN/USDT,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
238,WLUNA-USDT,WLUNA,USDT,0.01,17000,0.01,0.001,WLUNA/USDT,5,100000,False,False,0.10000000,False,True,False,False,online,,False
239,MKR-BTC,MKR,BTC,0.001,240,0.00001,0.000001,MKR/BTC,0.0001,11,False,False,0.10000000,False,False,False,False,online,,False
240,XLM-BTC,XLM,BTC,1,600000,0.00000001,1,XLM/BTC,0.001,50,False,False,0.10000000,False,False,False,False,online,,False
241,WCFG-BTC,WCFG,BTC,0.1,240000,0.00000001,0.01,WCFG/BTC,0.0001,3,False,False,0.10000000,False,True,False,False,online,,False
242,XTZ-USD,XTZ,USD,1,100000,0.0001,0.01,XTZ/USD,10,200000,False,False,0.10000000,False,False,False,False,online,,False
243,DOGE-GBP,DOGE,GBP,1,690000,0.0001,0.1,DOGE/GBP,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
244,BTRST-BTC,BTRST,BTC,0.1,250000,0.0000001,0.01,BTRST/BTC,0.0001,2,False,False,0.10000000,False,True,False,False,online,,False
245,BAT-EUR,BAT,EUR,0.1,170000,0.001,0.01,BAT/EUR,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
246,GRT-USD,GRT,USD,10,2500000,0.0001,0.01,GRT/USD,10.0,2500000,False,False,0.10000000,False,False,False,False,online,,False
247,BAT-USDC,BAT,USDC,1,800000,0.000001,1,BAT/USDC,10,100000,False,False,0.10000000,False,False,False,False,online,,False
248,BCH-BTC,BCH,BTC,0.01,400,0.00001,0.00000001,BCH/BTC,0.001,60,False,False,0.10000000,False,False,False,False,online,,False
249,TRU-USDT,TRU,USDT,1,490000,0.0001,0.1,TRU/USDT,5,100000,False,False,0.10000000,False,False,False,False,online,,False
250,BAT-BTC,BAT,BTC,0.1,170000,0.0000001,0.01,BAT/BTC,0.0001,2.0,False,False,0.10000000,False,False,False,False,online,,False
251,FIL-USD,FIL,USD,0.01,3400,0.0001,0.001,FIL/USD,1.0,200000,False,False,0.10000000,False,False,False,False,online,,False
252,CGLD-USD,CGLD,USD,0.1,34000,0.0001,0.01,CGLD/USD,1.0,100000,False,False,0.10000000,False,False,False,False,online,,False
253,1INCH-GBP,1INCH,GBP,0.1,59000,0.001,0.01,1INCH/GBP,5,100000,False,False,0.10000000,False,False,False,False,online,,False
254,MATIC-GBP,MATIC,GBP,5,1000000,0.0001,0.1,MATIC/GBP,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
255,EOS-USD,EOS,USD,0.1,100000,0.001,0.1,EOS/USD,10,500000,False,False,0.10000000,False,False,False,False,online,,False
256,LTC-USD,LTC,USD,0.01,4000,0.01,0.00000001,LTC/USD,10,500000,False,False,0.10000000,False,False,False,False,online,,False
257,AVAX-USDT,AVAX,USDT,0.01,3300,0.01,0.001,AVAX/USDT,5,100000,False,False,0.10000000,False,True,False,False,online,,False
258,BTC-USD,BTC,USD,0.0001,280,0.01,0.00000001,BTC/USD,5,5000000,False,False,0.10000000,False,False,False,False,online,,False
259,RAD-EUR,RAD,EUR,0.1,32000,0.01,0.01,RAD/EUR,5,100000,False,False,0.10000000,False,False,False,False,online,,False
260,GRT-BTC,GRT,BTC,10,2500000,0.00000001,0.01,GRT/BTC,0.0000001,5.2,False,False,0.10000000,False,False,False,False,online,,False
261,REN-BTC,REN,BTC,1,460000,0.00000001,1,REN/BTC,0.0001,10,False,False,0.10000000,False,False,False,False,online,,False
